,Date_x,Open,High,Low,Close,Adj Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
92,2020-02-24,3.79,3.94,3.76,3.88,3.88,4.1866666666666665,5.243333333333333,2.7233333333333327,6.706666666666667,1.666666666666666,7.763333333333334,0.20333333333333137,8.819999999999999,-1.2600000000000051,9.876666666666667,-2.7233333333333363
93,2020-02-25,5.18,5.19,4.24,4.4,4.4,4.1866666666666665,5.243333333333333,2.7233333333333327,6.706666666666667,1.666666666666666,7.763333333333334,0.20333333333333137,8.819999999999999,-1.2600000000000051,9.876666666666667,-2.7233333333333363
94,2020-02-26,4.5,4.71,4.3,4.34,4.34,4.1866666666666665,5.243333333333333,2.7233333333333327,6.706666666666667,1.666666666666666,7.763333333333334,0.20333333333333137,8.819999999999999,-1.2600000000000051,9.876666666666667,-2.7233333333333363
95,2020-02-27,4.09,4.3,3.92,4.14,4.14,4.1866666666666665,5.243333333333333,2.7233333333333327,6.706666666666667,1.666666666666666,7.763333333333334,0.20333333333333137,8.819999999999999,-1.2600000000000051,9.876666666666667,-2.7233333333333363
96,2020-02-28,3.96,4.14,3.87,4.13,4.13,4.1866666666666665,5.243333333333333,2.7233333333333327,6.706666666666667,1.666666666666666,7.763333333333334,0.20333333333333137,8.819999999999999,-1.2600000000000051,9.876666666666667,-2.7233333333333363
97,2020-03-02,4.15,4.19,3.9,4.11,4.11,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
98,2020-03-03,4.08,4.21,3.95,4.06,4.06,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
99,2020-03-04,4.03,4.07,3.77,3.87,3.87,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
100,2020-03-05,3.78,3.89,3.68,3.72,3.72,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
101,2020-03-06,3.62,3.66,3.42,3.55,3.55,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
102,2020-03-09,3.01,3.54,2.99,3.29,3.29,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
103,2020-03-10,3.49,3.54,3.29,3.5,3.5,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
104,2020-03-11,3.4,3.53,3.26,3.32,3.32,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
105,2020-03-12,3.06,3.23,2.98,3.13,3.13,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
106,2020-03-13,3.28,3.33,2.99,3.11,3.11,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
107,2020-03-16,2.87,3.11,2.75,2.94,2.94,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
108,2020-03-17,2.97,3.12,2.79,2.9,2.9,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
109,2020-03-18,2.4,2.58,2.11,2.43,2.43,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
110,2020-03-19,2.3,2.55,2.23,2.38,2.38,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
111,2020-03-20,2.49,2.64,2.35,2.4,2.4,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
112,2020-03-23,2.34,2.37,2.15,2.37,2.37,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
113,2020-03-24,2.55,2.75,2.4,2.6,2.6,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
114,2020-03-25,2.72,2.99,2.6,2.76,2.76,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
115,2020-03-26,2.81,3.07,2.78,2.93,2.93,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
116,2020-03-27,2.85,2.89,2.76,2.84,2.84,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
117,2020-03-30,2.81,2.83,2.7,2.71,2.71,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
118,2020-03-31,2.83,2.88,2.68,2.78,2.78,4.28,5.040000000000001,3.37,5.950000000000001,2.61,6.710000000000001,1.6999999999999993,7.47,0.7899999999999991,8.23,-0.120000000000001
119,2020-04-01,2.63,2.76,2.6,2.65,2.65,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
120,2020-04-02,2.51,2.59,2.22,2.39,2.39,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
121,2020-04-03,2.45,2.49,2.33,2.4,2.4,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
122,2020-04-06,2.48,2.55,2.4,2.47,2.47,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
